WMO,CYCLE_NUMBER,Category,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME
5906511,19,1,340,36.424,142.025,2022-11-10
5906511,18,1,420,35.979,141.904,2022-10-31
5906511,73,0,420,33.8608,163.1172,2024-05-22
5906443,10,1,300,-51.4078,155.8356,2023-04-12
5906443,12,1,460,-53.2754,156.8843,2023-05-02
5904765,17,1,260,-45.237,-172.409,2016-11-13
5904765,91,0,220,-46.21,-169.871,2018-12-16
2903867,6,2,220,-64.4299,143.8481,2024-03-17
5906030,145,1,500,-47.625,92.689,2023-03-10
5906030,144,1,420,-48.292,92.563,2023-02-28
5906030,143,1,340,-48.964,91.003,2023-02-17
5906030,148,1,380,-46.115,92.405,2023-04-10
5906030,131,1,340,-47.888,76.466,2022-10-16
6901519,116,1,780,59.52353333333333,-34.039471666666664,2014-04-26
6901519,30,1,620,62.76332769138773,-21.831868741136475,2013-05-25
6901519,134,1,620,59.38108166666667,-31.636288333333333,2014-07-25
6901519,124,2,420,59.358716666666666,-33.32984,2014-06-05
6901519,109,1,500,58.1253,-34.02452666666667,2014-03-22
6901519,164,1,340,62.04933833333333,-39.021226666666664,2015-02-20
6901519,128,2,500,59.06693666666666,-32.58960666666667,2014-06-25
6901519,114,1,700,59.07232833333333,-33.888218333333334,2014-04-16
6901519,117,2,820,59.52795666666667,-34.05856333333333,2014-05-01
6901519,108,1,460,58.240741666666665,-34.19541666666667,2014-03-17
6901585,65,1,420,-52.458605,33.12251,2015-11-14
5906542,2,1,220,-55.133,-140.935,2022-12-09
5906542,12,1,540,-53.425,-133.0439,2023-03-23
5906542,16,1,380,-57.758,-123.836,2023-05-04
5906542,57,1,380,-60.1433,-104.7587,2024-07-03
5906542,11,1,340,-53.6902,-136.3698,2023-03-13
5906542,17,1,340,-58.2957,-123.9725,2023-05-14
5906542,41,1,260,-60.3567,-114.4756,2024-01-19
5906542,15,1,260,-57.2233,-123.7094,2023-04-23
5906542,1,0,460,-54.64,-141.814,2022-11-28
